time,address,peers_connected,peers_good,content_count,out,in
2016-03-15_21-16-04,1Lod6THUt6v6ebZdBF2voYMk2QfvLvPm4q,0,0,1,0,14904240
2016-03-15_21-16-04,1HeLLo4uzjaLetFx6NH3PMwFP3qbRbTf3D,0,0,1,446322,893763
2016-03-15_21-16-04,1MgHVPCE1ve6QfKrgsqCURzRj72HrRWioz,0,0,60,271223,1100697
2016-03-15_21-16-04,1AJB5rtjfB9imjDGVk5vtRtZp3zgYizbpG,0,0,1,0,2399611
2016-03-15_21-16-04,1AzAFRKvba4f3yMqYCaHhW9G5rnDFrhnAn,0,0,1,3087,29456
2016-03-15_21-16-04,1Lzu3HBELK2Mp6qBmrYxum1zwxpTpDAnZA,0,0,1,0,90029
2016-03-15_21-16-04,1KQ9re46CXrBZhsHLnihgmPjBBr2b8bNKC,0,0,1,0,2122333
2016-03-15_21-16-04,17YSii8DbUZeHqgd8roo2ie23Ys11sZHBP,0,0,1,0,699826
2016-03-15_21-16-04,1BrgXu4E6jzdtvwec9oEU5Fir7355yeJF3,0,0,10,2348,448142
2016-03-15_21-16-04,1JMLq9wEG3xMs3g9uwLBWsTzTf7MofyxRX,0,0,1,0,943
2016-03-15_21-16-04,16kjT7s5mUM83uJ6cUKmkEAswJye1tEd3C,0,0,1,0,364189
2016-03-15_21-16-04,1AcGB3ooPzVd4y3QWdBx32V4gcSrjxUjUT,0,0,1,0,2831700
2016-03-15_21-16-04,17Vc4FxokFp67xxqKXR9AcfYBMjzFwgNKF,0,0,2,0,1461627
2016-03-15_21-16-04,1f7FYxZWSZ5YG7Nd8sGsHcWEQgvdnVvQF,0,0,1,379302,237335
2016-03-15_21-16-04,15duv81kQ7PvRc7KfVD9k3tYHU1KBMo7uW,0,0,1,0,35348
2016-03-15_21-16-04,16ybaY9D2XhhCk5GqjpAmBXJ7DXcsMtrkH,0,0,5,0,406402
2016-03-15_21-16-04,1NXZEk3SupketTvbRxaXCERa1E9Es9hi4a,0,0,1,0,6148938
2016-03-15_21-16-04,19DtdQZymsSBcTw1P6rwKxtEx9fpf93Qug,0,0,7,0,413642
2016-03-15_21-16-04,1Kr2j7wsM8NpQYCjgR6ccxHLuQmjdnVqD,0,0,8,0,388906
2016-03-15_21-16-04,13nELCDhPs8rT4EqF1HRGvfPPRCGELKRqD,0,0,11,0,3592952
2016-03-15_21-16-04,1ZeroeuDnL2jNS6t1epQa1SPvC91KG8ER,0,0,111,4248,1560374
2016-03-15_21-16-04,1NpCZF573u5vW6iUy7xQzFsv7zCYJysfiK,0,0,1,0,7725
