address,content_count,in,out,peers_connected,peers_good,peers_total,time
15duv81kQ7PvRc7KfVD9k3tYHU1KBMo7uW,1,35348,0,0,0,0,1457961122.31
16ybaY9D2XhhCk5GqjpAmBXJ7DXcsMtrkH,4,405039,0,0,0,0,1457961122.31
1NXZEk3SupketTvbRxaXCERa1E9Es9hi4a,1,6148938,0,0,0,0,1457961122.31
1Kr2j7wsM8NpQYCjgR6ccxHLuQmjdnVqD,8,388906,0,0,0,0,1457961122.31
13nELCDhPs8rT4EqF1HRGvfPPRCGELKRqD,11,3592952,0,0,0,0,1457961122.31
1ZeroeuDnL2jNS6t1epQa1SPvC91KG8ER,107,1477211,3433,0,0,0,1457961122.31
1KFARPHaH3JoXeUcjwMx3vFM5q7i1zQGav,1,20091,0,0,0,0,1457961122.31
13RhXecmBH34X44Nohf2qMogZKH7KzoG78,6,405843,0,0,0,0,1457961122.31
1DXDDPLAvZNrEg4wzsX8CJqAzZvQ9G1Rvj,4,379966,0,0,0,0,1457961122.31
1TaLk3zM7ZRskJvrh3ZNCDVGXvkJusPKQ,329,234616,0,0,0,0,1457961122.31
1DZpN7BRvJ4x6XrkJjQfGv1LRShsWci6Pc,6,429428,0,0,0,0,1457961122.31
1FMeSorqAS8Kq5E5XJpGGBJ8Qb2CxXhaYb,10,375225,898661,0,0,0,1457961122.31
1BCXs4U5Vjh5pE53iZ81zKVNfQRro8ZNdT,1,1133208,0,0,0,0,1457961122.31
1NpCZF573u5vW6iUy7xQzFsv7zCYJysfiK,1,5565,0,0,0,0,1457961122.31
1Apr5ba6u9Nz6eFASmFrefGvyBKkM76QgE,86,22923858,105353725,0,0,0,1457961122.31
1KdF3z61jUqqcfLnufJJs8MbuHwfQwjS89,5,416191,0,0,0,0,1457961122.31
16rELcbeZ7GY7X8teezU2EVSdpQpc7WPjF,1,707187,0,0,0,0,1457961122.31
1CpGZyfbUBBV5uXUoY653wVoqZFRojbEzd,16,456639,0,0,0,0,1457961122.31
1HzKesHsWG3N96CfW9eC2aL9VKY7EDm2Zj,11,8400398,123532,0,0,0,1457961122.31
186THqMWuptrZxq1rxzpguAivK3Bs6z84o,662,3266802,1210082,0,0,0,1457961122.31
17VFQ2Tnoa6oX94LnvDAYm7BkaMa2GxaDN,1,98170,0,0,0,0,1457961122.31
1HR2mJHeC1vs3XTTcX2X6BDcdRZZDNXZKV,20,1569769,536204,0,0,0,1457961122.31
1CGn7MNajfkAeN11bjKVG9vmDGqA8qv74S,1,32400,0,0,0,0,1457961122.31
1AHd759ohsgzr4NZC7cpSu1UuxjYukhx1m,1,2451252,0,0,0,0,1457961122.31
1Ae4HEA5meVoUtVsYnS4jLP6D4Q9D6Gez1,1,9092,0,0,0,0,1457961122.31
